"ID","Heading_date/days","Plant_height/cm","Leaf_length/cm","Leaf_width/cm","Tiller_angle/<U+00B0>","Full_grain_number_per_plant","Valid_panicle_number","Full_grain_number_per_panicle","Kilo-grain_weight/g","Seed_setting_rate.(%)","Yield_per_plant/g","Amylose_content","Gel_consistency","Chalkiness","Chalky_grain_percentage","Grain_shape(Length_to_width_ratio_of_polished_grain)","Grain_translucency_level","X19"
"ZJM81",88,111.33,34.87,1.7,83,1496,11,137.07,21.98,0.6,30.99,23,82.5,4.1,14.38,3.206,2,NA
"ZJM84",91,118.67,37.73,1.83,77.7,1521,10,147.37,22.96,0.83,30.57,23.4,85,5.93,17.89,3.429,1,NA
"ZJM85",90,115,35.17,1.8,78.3,1795,10.33,173.43,23.46,0.77,38.14,23.45,44,6.58,18,3.365,2,NA
"ZJM87",93,121.33,46.55,1.77,77,2491,11.33,217.71,21.78,0.77,50.08,24.15,80,3.5,10,3.489,1,NA
"ZJM88",95,116.33,34.27,1.7,84.7,1737,11.33,149.02,25.4,0.67,40.95,23,48,3.38,12.93,3.241,1,NA
"ZJM96",85,115.67,31.03,1.83,81.7,1009,9.33,110.44,25.71,0.67,23.84,21,87.5,9.61,34.94,3.14,2,NA
"ZJM98",92,117.67,30.07,1.67,79.7,2031,12,169.51,27.31,0.68,50.64,23.1,74,5.43,21.85,3.15,2,NA
"ZJM100",90,123.33,29.4,1.53,82,2279,16,141.67,21.06,0.7,46.08,21.05,49,1.91,8.8,3.001,2,NA
"ZJM103",97,128.67,45.53,1.77,82.7,1578,9.33,172.79,30.38,0.78,42.91,18.05,90,2.63,10.93,2.94,2,NA
"ZJM109",86,128,42.37,1.97,83,998,5.67,175.99,29.45,0.76,27.58,18.3,57.5,14.98,56.92,2.434,2,NA
"ZJM112",123,122.33,59.13,2.1,75,2525,12.33,201.36,23.43,0.83,55.3,21.75,47.5,1.36,7.89,2.629,2,NA
"ZJM114",82,115,41.13,1.77,81.3,1550,8.67,177.6,23.21,0.62,33.77,20.15,74.5,5.22,23.78,3.135,2,NA
"ZJM119",84,118.33,25.75,1.93,82.3,1638,8.33,195.29,26.94,0.8,39.1,19.25,54,4.77,22.49,2.997,2,NA
"ZJM124",86,119.67,33.77,1.8,85.7,1479,9.33,156.66,24.57,0.66,33.63,23.3,68,20.69,71.09,2.203,2,NA
"ZJM125",96,111.33,44.17,1.9,85,1846,9.33,198.39,27.2,0.89,46.34,21.6,75,12.76,46.24,2.607,3,NA
"ZJM129",83,103,33.27,1.6,73.7,1806,9.67,188.29,21.08,0.89,35.49,23.55,75,7.98,22.84,2.855,3,NA
"ZJM133",89,125,36.7,2.03,81.7,1246,6.33,197.45,25.92,0.77,30.1,2.45,100,11.61,42.08,2.544,2,NA
"ZJM135",86,121.67,36.1,1.93,82.7,1233,10,126.02,28.1,0.8,32.08,24.3,56,14.72,63.33,2.546,3,NA
"ZJM137",84,123.67,42.63,1.73,84.7,1516,9,167.31,28.86,0.8,40.58,25.15,66,20.74,87.5,2.539,3,NA
"ZJM139",90,130,42.93,1.97,80.7,1212,7,171.68,27.35,0.64,30.93,25,79,12.7,50.73,2.525,2,NA
"ZJM140",94,132.67,46.5,1.9,83.7,1394,7.67,183.18,29.07,0.78,37.87,25.15,76,9,35.4,2.648,2,NA
"ZJM143",93,138.33,40.4,1.8,80.7,2114,8.33,250.26,27.86,0.85,51.52,25.7,74,19.83,71.35,2.552,3,NA
"ZJM144",83,130.33,57.07,2.03,82,2170,11.67,184.94,29.33,0.89,57.64,23.15,54.5,8.98,32.21,2.641,3,NA
"ZJM146",83,117,53.03,1.6,81.7,1327,9.67,136.83,25.62,0.7,30.65,24.35,65,10.59,38.57,2.606,3,NA
"ZJM149",91,123.67,46.23,2.03,77,1794,10,180.59,28.69,0.73,46.31,18.2,93,1.93,9.89,2.538,2,NA
"ZJM152",89,139.67,40.8,1.97,77,1090,7,155.67,30.69,0.62,31.34,17,95,11.65,42.54,2.458,1,NA
"ZJM153",97,126,49.5,2.2,83.7,1535,6.67,228.06,28.34,0.89,39.88,24.95,86,11.14,44.5,2.659,3,NA
"ZJM155",85,135,38.23,1.87,78,1277,9,141.5,31.49,0.76,36.34,19.5,90,9.41,40.41,2.835,2,NA
"ZJM159",85,128.67,42.2,1.77,75.3,1911,12,159.5,26.67,0.79,47.94,16.4,90,11.45,34.38,2.592,2,NA
"ZJM161",85,125.67,40.07,1.8,84,1494,9,168.43,27.81,0.77,38.65,17.8,98,7.18,30,2.67,2,NA
"ZJM164",91,131.67,46.97,2,83.7,1919,9,210.21,28.08,0.71,50.17,23.25,81.5,17.76,59.78,2.397,2,NA
"ZJM165",92,132.33,36.67,1.9,79.3,1476,11,135.53,31.33,0.8,40.7,24.4,84,12.83,54.55,2.533,2,NA
"ZJM166",92,132.33,41.47,1.93,84.3,1242,7.67,164.94,32.19,0.89,37.17,22.85,78,11,42.22,2.471,1,NA
"ZJM167",90,140.33,41.83,2.03,84,1663,7.67,214.29,28,0.82,42.78,27.1,65,18.28,81.22,2.49,2,NA
"ZJM170",90,136.33,37.97,1.9,82.3,981,8,123.84,31.17,0.78,28.12,23.95,72.5,11.68,46.81,2.739,3,NA
"ZJM171",79,113.33,47.45,1.67,80.3,1593,14,111.98,26.53,0.81,39.03,26.3,85,3.91,15.68,3.209,2,NA
"ZJM172",90,130,34.1,1.67,76.3,1934,14,135.91,28.36,0.91,51.05,15.55,90,7.93,25.61,3.091,2,NA
"ZJM174",78,112,40,1.73,84,1509,11.33,133.21,26.4,0.81,36.97,26.1,79,17.3,68.21,2.444,2,NA
"ZJM187",94,135,41.3,2.27,79.7,1542,9,174.51,29.89,0.81,41.52,25.25,79,7.11,25.48,3.055,2,NA
"ZJM188",88,123.33,27,2.03,81.3,1282,10.67,119.62,35.22,0.88,42.07,17.35,89,17.75,67.11,2.935,3,NA
"ZJM189",89,122.67,38.47,2.07,80.3,922,7,131.29,32.59,0.62,27.62,25.1,85,12.86,50.34,2.613,3,NA
"ZJM190",86,116.67,36.33,2.23,80.3,1434,10.33,139.21,27.09,0.75,34.68,23.5,46,10.75,40.76,2.612,2,NA
"ZJM193",90,128.67,36.07,1.9,78.3,1186,9.5,125.6,27.49,0.8,29.05,24,75.5,8.4,28.57,3.226,2,NA
"ZJM194",89,134.67,35.7,2.03,79,1134,9.5,119.02,30.15,0.63,31.78,17.6,95,1.67,5.19,2.729,1,NA
"ZJM199",94,134.67,32.9,1.83,79,1105,6.33,176.9,29.54,0.91,30.19,25.75,85,1.8,8.75,2.319,1,NA
"ZJM204",89,136.33,45.1,1.77,79.3,941,5.67,162.28,27.54,0.75,23.04,23.65,95,10.67,46.25,2.774,2,NA
"ZJM207",82,109,50.57,2.03,81.7,1084,6.5,174.99,27.45,0.82,27.29,23.55,45,10.02,35.87,2.916,2,NA
"ZJM208",94,136.33,45.67,2.03,82.7,1182,6.67,176.79,36.94,0.85,38.74,24.65,79,15.66,51.08,2.517,3,NA
"ZJM209",71,98,43.83,1.67,80,946,7,131.01,25.54,0.78,22.05,15.2,83,6.18,21.2,3.174,2,NA
"ZJM214",88,127.67,32.67,1.77,82.7,1232,7.75,154.12,27.19,0.63,30.77,23.85,66,9.37,32.02,2.773,2,NA
"ZJM217",57,115.67,31.7,1.77,81,1142,8,144.99,26.1,0.7,26.75,24.65,74,13.06,51.11,2.259,1,NA
"ZJM220",130,118.67,43.23,2.2,78.3,2103,10.67,200.05,26.4,0.83,48.93,26.65,77.5,13.94,48.05,2.465,1,NA
"ZJM221",84,122,40.53,2.07,79.3,983,4.33,225.68,27.27,0.78,24.85,22.95,48,12.25,48.54,2.533,2,NA
"ZJM222",86,137.5,40.13,1.87,79.3,1664,8.67,197.53,28.74,0.75,45.19,23.2,45,9.52,31.33,3.134,2,NA
"ZJM223",79,113.33,47.87,1.67,80,1145,8,148.66,27.08,0.81,29.11,23.95,51,9.62,36.09,2.463,1,NA
"ZJM224",85,128.67,36.5,2.1,83,1553,9.33,167.37,27.28,0.73,40.09,23.55,56,12.29,38.95,3.065,3,NA
"ZJM225",75,109,45.37,1.73,82.3,1723,12,140.67,28.87,0.82,47.64,23.55,55,10.31,37.5,2.777,3,NA
"ZJM231",90,135.33,30,1.73,82,1188,6.67,186.16,28.21,0.82,31.04,25.05,86,13.5,44.76,2.884,3,NA
"ZJM235",91,135.67,40.4,1.77,81.3,960,4.67,206.92,29.63,0.82,25.9,23.65,67.5,8.28,35.11,3.249,2,NA
"ZJM236",82,119.33,39.83,1.9,81,1459,7,208.32,29.87,0.88,41.37,24.65,48,15.44,62.04,2.832,2,NA
"ZJM237",89,135.5,35.17,1.9,79.3,1400,7.67,185.47,28.68,0.79,36.5,24.55,62,11.22,43.16,2.914,2,NA
"ZJM243",91,133,43.6,2,75,990,5.33,185.29,28.33,0.79,26.05,24.55,64,8.06,35.79,2.534,2,NA
"ZJM249",86,128.33,34.03,1.67,79.3,1030,5.33,184.48,24.93,0.77,23.45,26.9,51,6.15,24.76,2.449,1,NA
"ZJM251",90,138.67,36,2,81,1767,7.67,230.7,25.58,0.76,41.87,27.45,55,7.48,27.71,2.42,3,NA
"ZJM253",82,108,38.33,1.7,76.7,1365,7,197.98,22.24,0.77,27.94,18.75,90,4.98,15.63,3.518,2,NA
"ZJM258",88,135,44.63,2.07,79.3,1555,6,259.88,29.23,0.83,42.64,24.6,74,10.67,44.51,2.675,2,NA
"ZJM265",86,122.67,28.8,1.83,80.7,1162,7,164.97,29.91,0.88,32.41,22.45,39,21.74,82.23,2.201,3,NA
"ZJM266",89,127.33,36.57,1.93,79.7,1223,6.33,194.45,28.53,0.82,32.49,24.7,61,9.21,31.56,2.505,3,NA
"ZJM267",88,128.67,41.07,2.33,82,1565,7.67,201.05,28.72,0.66,42.7,25.95,61,12.32,47.34,2.434,1,NA
"ZJM268",86,121.33,34.5,1.6,83,1296,9,147.49,28.01,0.83,34.23,23.2,56,14.33,57.2,2.441,1,NA
"ZJM270",91,124,43.97,1.53,80,1361,7.67,180.77,31.53,0.86,38.15,26,47,6.8,29.02,3.413,2,NA
"ZJM271",86,127.33,44.23,1.57,81,1544,8.67,180.28,27.99,0.87,39.47,24.6,80,3.65,15.38,3.439,3,NA
"ZJM272",86,130.33,35.7,1.97,83.7,1043,6.67,160.77,27.45,0.61,26.84,25.1,50,11.26,43.48,2.505,3,NA
"ZJM273",89,109.33,36.83,1.87,84.7,1560,9,175.32,28.33,0.68,38.85,25.8,49,11.1,45.97,2.337,1,NA
"ZJM275",92,136.33,43.3,2.4,79.7,1071,5.67,187.66,29.87,0.75,29.16,26.05,72,13.06,49.38,2.329,2,NA
"ZJM276",85,125.33,36.67,2,74.7,1094,8,135.44,32.71,0.66,33.7,27.25,61.5,12.71,50.89,3.025,3,NA
"ZJM277",91,132.33,37.23,1.97,78.7,1017,6,168.65,31.41,0.85,29.49,24.7,55,10.9,38.07,2.358,1,NA
"ZJM278",84,126.33,31.3,1.9,80.3,831,6.67,125.42,35.11,0.76,27.51,16.8,89,4.23,14.47,3.002,2,NA
"ZJM282",89,119.67,33.2,1.67,76.7,1022,8.33,120.27,33.21,0.69,31.89,23.85,51,9.59,32.78,2.9,2,NA
"ZJM285",91,126.67,38.63,1.87,83,1890,11.5,164.17,33.86,0.83,59.24,17.8,85,2.27,11.24,3.078,1,NA
"ZJM292",89,120.33,33.53,1.8,78.3,864,7,123.38,31.59,0.89,24.99,24.4,70,12.1,49.18,3.246,3,NA
"ZJM294",90,127.33,40.47,1.93,81.7,1921,9.67,200.51,27.69,0.9,47.98,24.5,80,5.23,24.23,2.656,2,NA
"ZJM296",89,119.67,32.77,1.77,74.3,1017,7.33,137.58,30.37,0.89,27.58,24.05,72,5.89,22.73,3.265,2,NA
