ID	YD_WH2012C	YD_WH2011C	YD_HN2012C
C001	21.48666667	24.13	27.72677181
C002	13.94666667	15.18	17.07136368
C003	17.96666667	24.54	12.17367347
C004	14.30666667	18.82	28.5160613
C005	16.30166667	22.5	40.11712758
C006	28.625	13.96	61.35534409
C007	29.76166667	20.44	42.17225871
C008	4.456666667	6.03	28.21821621
C009	31.56166667	29.62	50.60127478
C010	25.08	21.36	36.27492591
C011	27.605	24.11	23.964616
C012	26.23833333	22.97	25.47431831
C013	30.91666667	25.71	16.17410535
C014	18.92166667	22.39	23.71517074
C015	47.61	23.25	17.5404697
C016	7.463333333	12.43	16.8498414
C017	19.10333333	8.94	23.02640397
C018	5.751666667	14.89	15.75526069
C019	16.335	14.97	36.12414183
C020	23.14333333	21.41	41.49838419
C021	23.04833333	24.08	40.52294152
C022	13.49	21.1	39.19194627
C023	15.30333333	27.13	17.61865404
C024	17.45833333	21.54	35.3851137
C025	31.14333333	25.69	26.14633129
C026	24.23666667	25.89	25.92853207
C027	32.27	27.54	22.66712833
C028	24.615	25.84	25.01265842
C029	9.135	19	21.28214865
C030	46.67166667	33.03	28.24055459
C031	24.89	28.48	22.64106688
C032	17.185	22.01	14.66998764
C033	29.77333333	25.18	16.94291799
C034	15.19666667	30.28	12.18298113
C035	14.51833333	15.55	18.20875962
C036	16.91166667	28.86	12.08059688
C037	16.96333333	27.65	31.39212795
C038	33.21333333	20.55	22.07516121
C039	32.715	30.07	36.83524699
C040	28.01833333	25.01	25.76099421
C041	16.22	26.12	23.03385009
C042	35.42166667	27.47	20.01444549
C043	32.61666667	22.34	22.13659176
C044	33.555	20.22	11.16100016
C045	41.47333333	27.6	24.51376789
C046	31.55833333	28.5	17.55536196
C047	27.175	22.12	25.40730316
C048	25.43166667	25.65	13.00577819
C049	22.965	16.2	19.8394615
C050	23.29833333	23.95	16.8033031
C051	29.43666667	24.56	18.12126763
C052	28.73833333	23.61	10.02918882
C053	28.79166667	27.49	15.32152378
C054	21.22833333	24.28	14.16365099
C055	30.435	21.49	17.47345456
C056	18.965	16.88	17.85693011
C057	19.17166667	18.28	11.28758433
C058	30.31666667	16.26	37.23733786
C059	28.41166667	24.25	25.3979955
C060	42.95	25.52	20.81490417
C061	30.125	25.1	38.84942441
C062	38.15833333	14.31	32.63749274
C063	24.17666667	42.22	24.67944422
C064	31.105	23.28	14.15620486
C065	30.96666667	27.86	32.25215565
C066	29.305	22.28	28.86975234
C067	20.58666667	25.99	13.3222386
C068	23.5	31.13	21.0680725
C069	18.805	27.13	19.21584834
C070	17.03166667	16.79	17.89974534
C071	22.05166667	26.85	19.03155669
C072	30.99166667	28.47	33.58128937
C073	19.36666667	15.67	27.27814264
C074	19.895	17.51	10.24140345
C075	18.665	28.7	17.19236325
C076	22.43	18.58	30.28637805
C077	30.63666667	14.78	21.45340958
C078	25.62666667	18.63	17.35617805
