ID	Awn_length
C152	0.0
W146	0.0
W150	1.02
W129	4.0
W086	0.0
W195	0.0
W138	0.0
C167	0.0
W077	2.22
C114	0.0
C030	0.0
C031	0.0
W149	1.53
C148	1.31
W069	0.0
W079	0.0
W139	3.6
W307	-9.0
W197	0.0
W029	0.0
W290	0.0
C129	0.0
C019	0.0
C173	0.0
C178	1.45
C122	0.0
W242	0.0
W050	0.0
W305	0.0
W071	0.0
W101	0.0
W258	0.0
W172	0.0
W273	1.78
C017	4.99
C018	3.01
W144	0.0
W112	0.0
W061	0.0
W192	3.03
W239	0.0
W330	2.73
W223	0.0
W296	0.0
W297	0.0
W287	0.0
C005	0.0
W078	0.0
C101	0.0
W198	0.0
C127	0.0
C184	0.0
C150	0.0
C160	0.0
W211	0.0
W306	2.29
C059	0.0
C199	0.0
C076	0.0
C077	0.0
W009	0.0
W180	0.0
W224	0.0
W168	0.0
W181	0.0
W212	0.0
W122	0.0
W262	0.0
C200	0.0
W044	0.0
W038	0.0
W120	0.61
W147	0.0
W148	0.0
W303	0.0
W314	0.0
W310	0.0
W127	0.0
W090	2.01
W151	0.0
W233	0.0
W003	0.0
W022	0.0
W104	0.0
W152	0.0
W082	4.34
W027	0.0
C156	0.0
C037	0.0
W153	0.0
C050	0.0
C176	0.0
C083	0.0
W264	0.0
W036	1.45
W088	0.0
W315	0.0
W312	0.0
W317	0.0
W137	0.0
W083	0.0
W304	0.0
W182	0.0
W007	0.0
W064	4.62
C137	0.0
C074	0.9
C010	0.0
W256	0.0
W283	0.0
C057	0.0
C069	0.0
W134	0.0
W106	3.76
W193	0.0
C027	0.0
W199	1.84
W043	0.0
W096	0.0
W095	0.0
W142	0.0
W141	0.0
W028	1.51
W243	0.0
C002	6.93
W219	0.0
C060	0.0
W288	0.0
C015	0.0
W002	1.77
W089	0.0
W250	0.0
W118	0.0
W274	0.0
C155	0.0
C073	0.0
W194	0.0
C086	0.0
C181	5.32
W323	0.0
W154	0.0
C023	6.68
W091	0.0
W155	0.0
C082	5.66
W286	0.0
W081	0.0
W174	0.0
W068	5.98
C063	0.63
C003	5.01
W261	0.0
W209	0.0
C039	0.0
W237	0.0
W053	0.0
W329	0.0
W057	4.53
C118	0.0
W319	0.0
C020	0.0
C158	0.0
W325	2.68
C166	0.0
C042	0.0
C052	1.75
W156	0.0
W145	0.0
C161	0.75
W019	0.0
C080	0.0
C047	0.0
C179	0.0
C084	0.0
W326	0.0
C185	0.0
W052	0.0
W275	0.0
C081	0.0
C154	0.0
W200	0.0
W248	0.0
C182	0.0
W114	-9.0
W108	3.7
W105	0.0
C098	1.07
C106	1.11
C195	0.0
C065	0.0
W132	0.0
W157	0.0
C075	4.65
C144	0.0
C045	0.0
C029	0.0
C043	0.0
W131	0.0
W020	0.0
W175	0.0
W040	0.0
W213	0.0
W189	0.0
W222	0.0
W269	0.0
C164	0.0
W188	0.0
W187	-9.0
W169	0.0
W073	0.0
W291	-9.0
