ID	Grain_length
C152	7.13
W146	7.76
W150	9.37
W129	9.46
W086	9.53
W195	10.86
W138	8.25
C167	7.72
W077	10.14
C114	10.0
C030	10.38
C031	9.12
W149	9.54
C148	10.0
W069	9.07
W079	9.4
W139	7.33
W307	9.42
W197	8.6
W029	7.31
W290	7.53
C129	8.57
C019	7.92
C173	8.45
C178	8.05
C122	7.63
W242	9.56
W050	8.92
W305	7.8
W071	7.76
W101	8.5
W258	8.15
W172	10.76
W273	7.45
C017	8.07
C018	7.57
W144	8.33
W112	8.22
W061	9.41
W192	9.33
W239	8.19
W330	8.21
W223	9.19
W296	8.38
W297	7.98
W287	8.25
C005	10.47
W078	8.27
C101	6.85
W198	8.72
C127	8.58
C184	8.93
C150	7.52
C160	9.63
W211	9.12
W306	9.04
C059	7.6
C199	8.15
C076	7.67
C077	8.1
W009	9.11
W180	8.28
W224	8.85
W168	9.12
W181	9.29
W212	7.38
W122	8.89
W262	7.35
C200	8.1
W044	9.52
W038	8.02
W120	8.12
W147	9.07
W148	8.03
W303	9.42
W314	9.35
W310	8.67
W127	8.64
W090	7.81
W151	8.47
W233	8.17
W003	9.44
W022	8.39
W104	7.56
W152	9.99
W082	8.47
W027	8.12
C156	7.92
C037	7.83
W153	9.72
C050	10.1
C176	7.8
C083	8.87
W264	7.99
W036	8.14
W088	7.53
W315	9.48
W312	9.51
W317	9.59
W137	9.93
W083	9.36
W304	8.75
W182	8.34
W007	9.68
W064	7.79
C137	10.02
C074	9.77
C010	9.6
W256	8.26
W283	7.39
C057	8.08
C069	9.48
W134	9.7
W106	8.42
W193	9.13
C027	10.08
W199	9.97
W043	9.44
W096	8.09
W095	7.38
W142	7.61
W141	8.91
W028	8.59
W243	9.99
C002	10.2
W219	9.77
C060	8.68
W288	10.37
C015	9.45
W002	9.53
W089	8.56
W250	9.76
W118	10.37
W274	7.37
C155	7.5
C073	8.35
W194	9.42
C086	7.87
C181	8.07
W323	8.62
W154	8.4
C023	7.88
W091	7.31
W155	8.75
C082	9.05
W286	8.71
W081	9.17
W174	7.96
W068	7.99
C063	7.27
C003	8.75
W261	7.58
W209	7.44
C039	8.22
W237	9.58
W053	9.94
W329	8.45
W057	9.39
C118	8.9
W319	8.3
C020	7.53
C158	8.33
W325	7.19
C166	10.08
C042	7.65
C052	7.72
W156	7.91
W145	7.95
C161	8.78
W019	9.49
C080	7.58
C047	7.9
C179	8.27
C084	10.33
W326	8.44
C185	8.33
W052	10.24
W275	6.13
C081	8.42
C154	7.03
W200	9.76
W248	8.87
C182	8.2
W114	9.07
W108	7.32
W105	9.03
C098	8.02
C106	7.48
C195	7.38
C065	7.98
W132	7.43
W157	8.0
C075	7.95
C144	7.63
C045	8.03
C029	7.77
C043	8.17
W131	7.18
W020	8.8
W175	9.78
W040	9.29
W213	8.45
W189	8.91
W222	9.77
W269	8.1
C164	8.52
W188	9.94
W187	-9.0
W169	9.12
W073	9.7
W291	-9.0
W066	8.71
W298	9.46
W084	8.47
W301	9.87
W289	9.61
W293	8.86
W046	9.1
C153	9.28
W217	7.96
W140	8.49
W279	7.99
