ID	Grain_thickness
C152	1.92
W146	2.07
W150	1.97
W129	1.87
W086	1.89
W195	1.81
W138	1.85
C167	2.19
W077	1.96
C114	1.94
C030	2.01
C031	1.87
W149	2.08
C148	2.06
W069	1.62
W079	2.02
W139	2.17
W307	1.91
W197	1.74
W029	2.03
W290	2.16
C129	1.98
C019	1.96
C173	2.05
C178	1.98
C122	2.0
W242	2.02
W050	2.16
W305	2.21
W071	1.96
W101	2.16
W258	1.96
W172	1.94
W273	1.78
C017	2.27
C018	2.27
W144	2.0
W112	2.03
W061	2.45
W192	2.0
W239	1.81
W330	2.03
W223	1.99
W296	1.9
W297	1.81
W287	2.02
C005	1.95
W078	2.07
C101	2.09
W198	2.19
C127	2.04
C184	2.1
C150	2.24
C160	1.95
W211	1.77
W306	1.8
C059	2.03
C199	1.94
C076	2.16
C077	2.01
W009	2.05
W180	2.03
W224	1.83
W168	2.06
W181	2.01
W212	1.98
W122	1.78
W262	2.07
C200	1.94
W044	2.09
W038	2.06
W120	2.24
W147	1.94
W148	2.03
W303	1.91
W314	1.83
W310	1.83
W127	2.1
W090	2.05
W151	2.0
W233	2.04
W003	2.06
W022	2.11
W104	1.92
W152	1.9
W082	2.18
W027	1.8
C156	1.98
C037	2.02
W153	1.97
C050	1.87
C176	2.1
C083	2.07
W264	2.04
W036	1.99
W088	2.23
W315	1.99
W312	1.97
W317	1.99
W137	2.01
W083	2.02
W304	1.82
W182	1.88
W007	1.8
W064	2.01
C137	2.24
C074	2.11
C010	1.9
W256	1.99
W283	2.29
C057	2.11
C069	1.94
W134	1.88
W106	1.9
W193	2.04
C027	1.99
W199	2.06
W043	1.89
W096	2.09
W095	2.12
W142	1.9
W141	2.11
W028	1.8
W243	1.92
C002	1.96
W219	1.87
C060	1.94
W288	2.11
C015	1.99
W002	1.81
W089	1.83
W250	2.24
W118	1.96
W274	2.12
C155	2.1
C073	1.89
W194	1.85
C086	1.93
C181	2.13
W323	2.0
W154	1.78
C023	2.0
W091	1.91
W155	1.93
C082	2.19
W286	2.08
W081	2.01
W174	1.88
W068	1.91
C063	2.11
C003	2.12
W261	2.25
W209	2.06
C039	2.0
W237	1.87
W053	1.87
W329	2.05
W057	1.9
C118	1.82
W319	2.2
C020	2.1
C158	1.97
W325	2.24
C166	2.09
C042	2.18
C052	2.29
W156	2.11
W145	2.04
C161	2.14
W019	1.92
C080	2.01
C047	2.03
C179	2.18
C084	2.43
W326	2.09
C185	2.07
