ID	Grain_weight
C152	23.93
W146	23.86
W150	24.92
W129	22.87
W086	25.07
W195	26.17
W138	20.25
C167	24.64
W077	26.92
C114	22.24
C030	21.8
C031	21.22
W149	27.85
C148	27.93
W069	17.26
W079	27.01
W139	25.13
W307	-9.0
W197	19.14
W029	19.94
W290	23.63
C129	23.89
C019	20.85
C173	22.77
C178	22.05
C122	21.81
W242	25.57
W050	28.39
W305	25.98
W071	23.04
W101	27.49
W258	20.85
W172	24.92
W273	16.0
C017	20.9
C018	17.85
W144	22.09
W112	24.44
W061	41.24
W192	22.14
W239	19.81
W330	22.66
W223	26.79
W296	20.37
W297	18.02
W287	22.74
C005	28.98
W078	24.69
C101	21.04
W198	29.08
C127	23.22
C184	24.83
C150	25.67
C160	20.64
W211	17.04
W306	19.86
C059	23.66
C199	22.55
C076	24.35
C077	21.51
W009	26.08
W180	24.07
W224	19.69
W168	26.62
W181	24.64
W212	21.66
W122	19.83
W262	23.59
C200	21.39
W044	26.88
W038	20.96
W120	31.65
W147	24.58
W148	24.58
W303	26.79
W314	20.63
W310	19.36
W127	25.56
W090	21.71
W151	22.28
W233	24.53
W003	29.0
W022	27.26
W104	22.41
W152	25.31
W082	29.65
W027	21.78
C156	19.73
C037	23.07
W153	25.89
C050	24.93
C176	24.13
C083	23.46
W264	24.1
W036	23.06
W088	26.61
W315	23.8
W312	23.56
W317	24.0
W137	30.73
W083	27.1
W304	17.24
W182	21.86
W007	25.61
W064	22.25
C137	30.57
C074	30.35
C010	21.18
W256	20.04
W283	26.89
C057	18.83
C069	24.21
W134	19.88
W106	24.44
W193	28.62
C027	22.93
W199	31.15
W043	22.77
W096	26.14
W095	23.21
W142	20.92
W141	30.06
W028	17.59
W243	26.25
C002	22.02
W219	21.92
C060	21.68
W288	32.01
C015	23.46
W002	22.59
W089	20.82
W250	37.46
W118	37.3
W274	23.41
C155	19.16
C073	19.28
W194	20.55
C086	21.76
C181	25.98
W323	22.04
W154	17.66
C023	20.59
W091	17.31
W155	22.38
C082	23.83
W286	24.26
W081	27.13
W174	19.81
W068	20.99
C063	19.8
C003	25.75
W261	25.89
W209	23.54
C039	23.95
W237	22.87
W053	26.72
W329	26.18
W057	29.18
C118	19.92
W319	24.62
C020	22.12
C158	21.41
W325	21.49
C166	22.5
C042	23.42
C052	27.09
W156	30.99
W145	22.47
C161	26.95
W019	24.64
C080	22.58
C047	22.72
C179	20.05
C084	41.48
W326	28.35
C185	23.36
W052	30.65
W275	15.64
C081	21.83
C154	14.01
W200	24.42
W248	21.78
C182	23.02
W114	-9.0
W108	19.44
W105	25.76
C098	21.07
C106	17.61
C195	16.71
C065	22.68
W132	20.68
W157	24.07
C075	22.4
C144	25.69
C045	16.7
C029	17.76
C043	25.71
W131	14.47
W020	14.96
W175	24.39
W040	30.97
W213	19.28
W189	23.73
W222	24.84
W269	21.27
C164	24.96
W188	20.96
W187	-9.0
W169	21.34
W073	23.46
W291	-9.0
W066	19.72
W298	20.0
W084	23.56
W301	23.06
W289	24.3
W293	25.96
W046	24.4
C153	30.41
W217	16.9
W140	25.09
W279	22.89
W299	18.74
W214	23.91
C040	21.86
C117	25.42
W201	25.13
C125	25.55
C097	21.04
C056	25.07
W327	26.13
C112	16.0
C022	17.83
C096	22.59
C049	23.92
C132	26.83
W107	28.59
W047	23.66
C174	27.66
W143	17.89
W035	23.44
W058	23.28
W092	22.0
W215	23.83
W085	25.28
W210	24.09
W021	36.65
W173	25.35
W292	20.56
W124	17.51
W117	29.31
W012	30.31
W045	29.56
W302	25.19
C157	18.7
W265	21.59
W136	22.62
W294	-9.0
W277	26.75
C016	17.12
W202	25.69
C071	26.08
W321	22.66
W257	28.82
W295	22.97
C183	26.12
W225	24.79
C138	25.47
W322	23.37
C004	22.08
C028	23.47
C116	20.1
W203	23.92
C058	22.03
C066	19.43
C128	24.09
C087	24.27
C032	26.32
W110	21.3
C033	21.69
