ID	Grain_width
C152	3.87
W146	3.29
W150	2.85
W129	2.5
W086	2.81
W195	2.37
W138	2.72
C167	3.38
W077	2.73
C114	2.85
C030	2.93
C031	2.78
W149	3.03
C148	2.87
W069	2.19
W079	2.92
W139	3.6
W307	2.67
W197	2.54
W029	2.96
W290	3.42
C129	3.33
C019	3.27
C173	3.22
C178	3.03
C122	3.27
W242	3.01
W050	3.46
W305	3.42
W071	3.29
W101	3.34
W258	2.76
W172	2.5
W273	2.67
C017	3.52
C018	3.72
W144	2.96
W112	3.12
W061	4.38
W192	2.89
W239	2.69
W330	3.04
W223	3.17
W296	3.0
W297	2.67
W287	3.07
C005	3.0
W078	3.1
C101	3.75
W198	3.31
C127	3.15
C184	3.18
C150	3.88
C160	2.77
W211	2.47
W306	2.37
C059	3.27
C199	3.0
C076	3.65
C077	3.13
W009	2.83
W180	2.98
W224	2.52
W168	2.96
W181	2.73
W212	3.25
W122	3.12
W262	3.33
C200	3.28
W044	3.08
W038	3.32
W120	3.9
W147	2.66
W148	3.45
W303	3.23
W314	2.41
W310	2.51
W127	3.18
W090	3.02
W151	2.82
W233	2.94
W003	3.59
W022	3.6
W104	3.09
W152	2.65
W082	3.71
W027	3.29
C156	3.13
C037	3.23
W153	2.73
C050	2.77
C176	3.45
C083	3.35
W264	3.13
W036	3.02
W088	3.38
W315	2.68
W312	2.68
W317	2.76
W137	3.31
W083	2.77
W304	2.64
W182	2.87
W007	2.87
W064	3.42
C137	3.6
C074	3.5
C010	2.63
W256	2.75
W283	3.71
C057	3.73
C069	2.9
W134	2.59
W106	3.03
W193	3.02
C027	2.85
W199	2.96
W043	2.68
W096	3.58
W095	3.06
W142	3.13
W141	3.45
W028	2.71
W243	2.75
C002	2.63
W219	2.46
C060	2.72
W288	3.05
C015	2.98
W002	3.24
W089	2.5
W250	3.78
W118	2.69
W274	3.18
C155	3.05
C073	2.9
W194	2.55
C086	2.87
C181	3.73
W323	3.76
W154	2.85
C023	3.58
W091	3.12
W155	2.8
C082	3.92
W286	2.94
W081	3.03
W174	2.85
W068	3.53
C063	3.5
C003	3.32
W261	3.46
W209	3.51
C039	3.33
W237	2.42
W053	3.2
W329	3.44
W057	3.28
C118	2.65
W319	3.58
C020	3.52
C158	3.12
W325	3.61
C166	2.95
C042	3.47
C052	3.62
W156	3.17
W145	3.13
C161	3.33
W019	2.99
C080	3.25
C047	3.28
C179	3.83
C084	4.3
W326	3.82
C185	3.88
W052	3.43
W275	3.17
C081	3.12
C154	3.65
W200	2.58
W248	3.14
C182	3.3
W114	2.67
W108	2.75
W105	3.2
C098	3.27
C106	3.4
C195	3.62
C065	3.22
W132	3.07
W157	2.85
C075	3.8
C144	4.08
C045	2.47
C029	4.02
C043	3.2
W131	2.79
W020	3.15
W175	2.76
W040	2.8
W213	2.53
W189	2.72
W222	2.79
W269	2.99
C164	3.37
W188	2.51
W187	-9.0
W169	2.74
W073	2.34
W291	-9.0
W066	2.74
W298	2.53
W084	3.09
W301	2.74
W289	2.73
W293	3.16
W046	3.02
C153	3.97
W217	3.15
W140	3.08
W279	3.2
W299	2.95
W214	2.61
C040	3.05
C117	3.08
W201	2.6
C125	3.37
C097	3.1
C056	3.88
W327	3.27
C112	2.77
C022	2.7
C096	3.08
C049	3.05
C132	3.68
W107	3.34
W047	3.11
C174	2.92
W143	3.15
W035	2.97
W058	3.27
W092	3.17
W215	2.73
W085	3.5
W210	3.0
