ID	Number_of_effective_Panicles
C152	7.4
W146	29.8
W150	15.2
W129	25.0
W086	11.4
W195	14.0
W138	28.4
C167	8.8
W077	14.8
C114	12.6
C030	10.4
C031	9.0
W149	16.0
C148	7.2
W069	13.0
W079	13.0
W139	22.2
W307	-9.0
W197	19.6
W029	17.6
W290	17.6
C129	16.0
C019	13.0
C173	7.2
C178	7.8
C122	8.6
W242	19.6
W050	14.2
W305	15.6
W071	21.2
W101	16.6
W258	17.6
W172	17.0
W273	10.2
C017	8.33
C018	16.2
W144	16.6
W112	14.0
W061	9.0
W192	16.6
W239	23.6
W330	15.4
W223	15.2
W296	17.4
W297	11.4
W287	15.2
C005	5.8
W078	15.0
C101	3.8
W198	15.8
C127	10.2
C184	10.0
C150	8.8
C160	11.8
W211	20.2
W306	15.6
C059	8.4
C199	7.4
C076	8.5
C077	9.2
W009	10.6
W180	13.8
W224	17.0
W168	14.0
W181	27.4
W212	23.2
W122	12.6
W262	25.4
C200	8.2
W044	13.8
W038	18.2
W120	8.8
W147	19.8
W148	15.2
W303	11.4
W314	16.8
W310	23.2
W127	8.4
W090	45.8
W151	15.75
W233	9.2
W003	8.2
W022	11.0
W104	12.2
W152	16.6
W082	12.4
W027	8.4
C156	10.0
C037	9.6
W153	11.6
C050	8.0
C176	8.2
C083	9.8
W264	19.8
W036	20.8
W088	14.4
W315	17.8
W312	20.8
W317	16.2
W137	16.8
W083	11.4
W304	11.4
W182	21.6
W007	7.8
W064	22.0
C137	5.75
C074	6.8
C010	8.0
W256	16.4
W283	9.8
C057	6.75
C069	8.6
W134	16.0
W106	19.0
W193	12.6
C027	11.4
W199	15.0
W043	15.8
W096	16.6
W095	13.6
W142	11.8
W141	18.4
W028	20.6
W243	11.0
C002	7.8
W219	18.8
C060	10.2
W288	7.4
C015	8.2
W002	5.8
W089	27.6
W250	10.0
W118	6.6
W274	16.6
C155	10.6
C073	7.2
W194	15.6
C086	5.25
C181	11.0
W323	8.8
W154	14.8
C023	17.8
W091	15.4
W155	13.4
C082	11.4
W286	24.0
W081	12.6
W174	17.0
W068	15.4
C063	13.75
C003	8.5
W261	24.8
W209	14.6
C039	8.8
W237	20.0
W053	8.6
W329	9.6
W057	8.0
C118	10.6
W319	6.6
C020	10.8
C158	11.0
W325	8.6
C166	7.2
C042	10.4
C052	8.8
W156	13.4
W145	10.6
C161	11.0
W019	12.4
C080	7.2
C047	9.4
C179	9.2
C084	4.6
W326	7.8
C185	3.75
W052	11.8
W275	7.8
C081	9.0
C154	8.4
W200	17.8
W248	16.8
C182	6.8
W114	-9.0
W108	28.0
W105	19.2
C098	8.8
C106	7.0
C195	7.2
C065	12.2
W132	20.6
W157	13.2
C075	8.0
C144	3.0
C045	13.2
C029	5.4
C043	8.4
W131	16.8
W020	13.0
W175	22.0
W040	13.4
W213	13.0
W189	16.8
W222	16.6
W269	14.2
C164	6.6
W188	22.6
W187	-9.0
W169	22.8
W073	20.0
W291	-9.0
W066	16.8
W298	21.4
W084	13.4
W301	20.4
W289	14.0
W293	17.6
W046	19.6
C153	8.0
W217	9.4
W140	18.6
W279	12.8
W299	22.2
W214	14.6
C040	9.0
C117	9.4
W201	17.4
C125	8.0
C097	12.2
C056	7.0
W327	13.8
C112	15.75
C022	13.75
C096	11.0
C049	7.4
C132	5.4
W107	17.2
W047	12.2
C174	8.4
W143	12.4
W035	11.6
W058	19.4
W092	18.0
W215	16.6
W085	12.6
W210	23.4
W021	9.0
W173	11.8
W292	23.6
W124	16.6
W117	13.8
W012	11.0
W045	24.2
W302	18.0
C157	8.8
W265	15.4
W136	18.2
W294	-9.0
W277	16.8
C016	15.75
W202	17.0
C071	8.8
W321	10.8
W257	7.8
W295	24.4
C183	9.4
W225	6.8
C138	7.6
W322	12.75
C004	15.2
C028	8.8
C116	11.25
W203	16.0
C058	6.6
C066	21.0
C128	15.0
C087	9.4
C032	14.8
W110	6.4
C033	11.0
W130	18.4
C014	10.4
W158	14.2
W226	11.6
W282	-9.0
C177	11.0
C104	5.33
C108	8.4
W178	20.4
W037	12.8
C197	5.75
W001	8.4
C091	8.4
C092	10.4
W204	17.8
C124	9.4
C094	12.6
W176	17.2
C011	12.4
C194	6.8
C147	9.2
W067	8.4
W278	16.8
C053	9.2
C009	9.25
C142	7.2
C107	7.8
W177	13.8
W221	20.2
C079	6.2
C133	4.8
C067	9.2
W048	10.0
C013	11.2
W039	21.6
W094	14.0
C141	7.8
C088	7.6
C151	10.0
C165	8.2
C072	10.6
W062	13.8
C162	21.2
W025	16.4
W316	21.2
W300	7.6
C187	9.0
C119	5.8
C146	15.25
W059	16.2
W016	17.6
W309	25.0
W227	17.4
W228	15.8
W183	23.2
W313	23.2
W041	7.4
W271	16.6
W103	28.0
W024	8.8
W102	4.4
W284	10.0
W244	9.2
W126	25.0
W276	16.6
W034	14.4
W033	13.0
C051	10.4
W205	15.2
W013	16.2
W241	17.6
W049	13.0
W236	12.8
W170	16.2
W311	17.0
W184	20.8
W185	17.6
W308	15.8
W191	14.4
C189	7.6
W234	11.0
C025	12.2
C078	7.0
C143	7.4
W318	23.8
C102	9.8
W004	7.8
W159	16.2
W065	12.6
W017	10.2
W055	5.4
W042	15.2
W014	16.8
W051	16.8
W251	9.4
W246	26.4
W280	24.8
W263	15.0
W252	10.8
C001	10.8
W015	16.4
W254	8.8
C055	11.2
