ID	Plant_Height(cm)
C152	100.0
W146	127.4
W150	104.6
W129	151.2
W086	103.4
W195	123.8
W138	102.0
C167	108.23
W077	182.4
C114	86.87
C030	99.57
C031	96.27
W149	112.6
C148	117.2
W069	146.4
W079	147.6
W139	96.4
W307	101.0
W197	112.8
W029	147.8
W290	116.4
C129	166.87
C019	80.25
C173	114.4
C178	107.67
C122	118.1
W242	106.2
W050	174.8
W305	74.0
W071	104.6
W101	149.8
W258	158.4
W172	100.2
W273	156.2
C017	92.67
C018	78.27
W144	168.4
W112	167.2
W061	121.8
W192	121.2
W239	109.8
W330	149.6
W223	103.6
W296	138.8
W297	161.2
W287	150.2
C005	163.33
W078	96.8
C101	192.07
W198	180.0
C127	152.54
C184	156.17
C150	90.32
C160	83.68
W211	97.0
W306	129.6
C059	113.43
C199	187.53
C076	127.36
C077	149.8
W009	193.8
W180	108.0
W224	116.0
W168	101.4
W181	105.8
W212	159.6
W122	169.8
W262	83.8
C200	189.1
W044	98.8
W038	138.0
W120	109.6
W147	117.6
W148	168.4
W303	157.8
W314	111.2
W310	111.2
W127	142.6
W090	137.4
W151	98.0
W233	114.2
W003	140.4
W022	146.0
W104	145.4
W152	110.0
W082	125.0
W027	116.8
C156	73.13
C037	105.33
W153	103.8
C050	108.81
C176	97.67
C083	174.7
W264	91.4
W036	157.8
W088	70.6
W315	102.0
W312	111.6
W317	110.4
W137	125.6
W083	116.4
W304	95.8
W182	101.2
W007	150.8
W064	106.2
C137	170.0
C074	143.65
C010	106.7
W256	160.0
W283	68.4
C057	123.63
C069	115.8
W134	150.0
W106	169.4
W193	121.4
C027	100.47
W199	125.2
W043	105.4
W096	165.2
W095	165.8
W142	149.4
W141	151.6
W028	164.2
W243	105.6
C002	177.62
W219	161.0
C060	114.73
W288	144.2
C015	152.2
W002	157.4
W089	136.4
W250	123.2
W118	84.2
W274	70.8
C155	69.47
C073	167.83
W194	108.8
C086	147.17
C181	137.9
W323	136.4
W154	102.4
C023	89.39
W091	148.2
W155	98.4
C082	156.46
W286	154.8
W081	130.2
W174	84.0
W068	139.8
C063	115.54
C003	141.57
W261	132.4
W209	142.4
C039	109.43
W237	115.8
W053	152.6
W329	147.4
W057	182.2
C118	88.27
W319	174.2
C020	78.17
C158	85.17
W325	135.8
C166	94.73
C042	103.67
C052	107.0
W156	99.2
W145	177.4
C161	93.5
W019	124.8
C080	170.53
C047	97.53
C179	133.53
C084	157.62
W326	155.4
C185	145.0
W052	98.6
W275	148.2
C081	155.8
C154	77.43
W200	115.4
W248	145.4
C182	161.2
W114	181.4
W108	161.2
W105	156.6
C098	178.27
C106	191.0
C195	171.79
C065	109.07
W132	156.0
W157	95.2
C075	131.3
C144	206.73
C045	106.23
C029	94.0
C043	106.33
W131	161.0
W020	136.6
W175	101.0
W040	108.4
W213	137.4
W189	114.2
W222	115.6
W269	96.0
C164	95.53
W188	102.0
W187	105.2
W169	93.6
W073	98.8
W291	96.6
W066	102.2
W298	95.2
W084	114.4
W301	95.6
W289	104.4
W293	83.4
W046	96.0
C153	105.07
W217	133.8
W140	145.8
W279	166.6
W299	90.8
W214	153.8
C040	102.46
C117	110.43
W201	108.2
C125	145.65
C097	172.2
C056	99.03
W327	89.8
C112	77.43
C022	77.3
C096	166.4
C049	103.13
C132	169.67
W107	163.2
W047	203.2
C174	111.43
W143	196.8
W035	196.2
W058	150.6
W092	144.8
W215	154.4
W085	118.6
W210	166.4
W021	142.4
W173	121.6
W292	164.2
W124	134.0
W117	98.6
W012	100.8
W045	98.0
W302	166.8
C157	75.1
W265	120.4
W136	188.6
W294	118.8
W277	142.0
C016	77.73
W202	112.0
C071	128.2
W321	160.6
W257	171.6
W295	99.6
C183	160.57
W225	90.2
C138	190.9
W322	109.0
C004	140.4
C028	86.97
C116	87.03
W203	185.6
C058	103.7
C066	120.27
C128	158.23
C087	141.27
C032	107.8
W110	154.4
C033	132.04
W130	92.6
C014	82.43
W158	107.2
W226	93.2
W282	134.8
C177	112.87
C104	179.14
C108	156.8
W178	97.8
W037	173.8
C197	175.77
W001	146.4
C091	170.07
C092	168.47
W204	154.2
C124	110.27
C094	154.87
W176	101.4
C011	100.43
C194	173.4
C147	108.1
W067	152.6
W278	146.6
C053	116.63
C009	106.8
C142	198.57
C107	193.67
W177	100.0
W221	112.4
C079	143.32
C133	170.8
C067	117.93
W048	190.2
C013	150.43
W039	152.0
W094	141.8
C141	190.93
C088	135.4
C151	107.73
C165	96.03
C072	158.07
W062	153.4
C162	97.77
W025	154.2
W316	99.0
W300	107.2
C187	144.47
C119	86.17
C146	74.7
W059	115.8
W016	78.8
W309	112.2
W227	106.6
W228	115.0
W183	96.6
W313	110.4
W041	169.4
W271	95.8
W103	111.4
W024	139.8
W102	182.6
W284	135.4
W244	102.4
W126	157.6
W276	160.2
W034	165.8
W033	155.0
C051	99.9
W205	161.8
W013	98.6
W241	119.2
W049	163.8
W236	101.8
W170	90.6
W311	100.6
W184	98.0
W185	95.6
W308	109.4
W191	121.0
C189	162.36
W234	112.8
C025	82.83
C078	172.4
C143	170.36
W318	139.3
C102	150.67
W004	158.2
W159	95.2
W065	149.4
W017	126.2
W055	171.4
W042	185.4
W014	158.0
W051	107.4
W251	129.8
W246	151.0
W280	145.8
W263	114.8
W252	178.0
C001	144.13
W015	157.8
W254	143.4
C055	119.03
C186	180.0
C038	101.33
C090	177.29
W097	137.0
W075	186.2
W008	147.0
W010	135.0
W253	146.2
W111	203.6
C006	108.23
C007	107.97
C085	147.1
W160	96.0
W011	116.8
W135	172.8
W281	150.0
C036	95.07
W070	160.4
C120	97.63
W179	93.8
W328	117.4
W113	141.0
W031	159.6
W099	149.0
W060	119.4
W072	154.0
W100	177.2
W093	133.0
C064	103.3
W235	148.4
C008	87.47
W005	133.8
C123	118.83
W128	149.8
C012	114.1
W074	162.2
C041	113.1
C068	109.6
C169	118.07
W056	129.0
W220	172.0
W076	155.0
W218	133.6
W121	177.6
W133	157.8
W249	125.8
W186	98.2
C044	104.33
W240	111.6
W030	172.6
W115	153.4
C089	142.43
W032	159.6
W245	121.6
W171	96.8
W054	190.2
W272	155.6
W216	113.8
W259	106.0
W238	95.4
W285	134.6
W260	134.0
W080	141.4
W098	158.8
W018	93.4
W063	114.2
W119	95.4
C180	147.15
W023	165.8
W116	175.4
W006	149.8
W123	140.8
C026	104.7
W320	177.2
C099	176.8
C100	166.45
C105	170.17
C109	162.1
C115	80.4
C139	185.33
C062	105.5
W109	99.4
W026	160.6
W268	91.4
C192	185.07
W206	112.0
C134	172.46
C140	164.4
W229	119.4
W230	-9.0
W231	117.0
C121	150.67
C021	80.83
C190	160.9
C110	159.33
C130	155.4
C093	164.73
C170	94.87
C046	172.37
C113	73.77
C202	176.33
C095	163.37
C135	136.39
C111	206.13
C171	140.61
C054	97.9
C131	165.07
C168	104.87
W161	102.0
C061	109.37
C188	137.8
C035	102.58
W247	170.2
W270	99.0
C201	194.93
W125	152.0
W087	77.2
C070	97.8
C191	171.27
W162	98.4
W163	91.4
W207	114.6
W267	114.4
W266	132.6
C103	202.07
C196	193.0
C048	97.33
C163	104.17
W164	88.6
C203	77.33
C136	182.14
C175	111.2
C145	92.33
C024	85.33
W165	103.8
W208	119.6
C149	102.47
C172	102.37
C034	110.5
C193	158.4
W166	137.8
C159	95.8
W167	135.2
W324	156.0
C198	173.77
W255	145.8
