ID	Spikelet_length
C152	23.67
W146	23.59
W150	26.38
W129	29.14
W086	23.6
W195	27.8
W138	22.98
C167	20.01
W077	25.62
C114	19.77
C030	24.38
C031	22.85
W149	23.42
C148	25.77
W069	26.98
W079	25.72
W139	16.51
W307	-9.0
W197	27.51
W029	20.73
W290	23.56
C129	25.55
C019	20.17
C173	21.84
C178	25.81
C122	21.06
W242	24.6
W050	26.57
W305	18.06
W071	23.13
W101	27.25
W258	27.17
W172	25.78
W273	30.35
C017	18.83
C018	15.07
W144	24.61
W112	26.14
W061	20.73
W192	26.88
W239	24.92
W330	21.77
W223	23.56
W296	24.46
W297	24.4
W287	25.38
C005	30.48
W078	20.93
C101	28.95
W198	29.85
C127	27.52
C184	23.62
C150	15.58
C160	21.77
W211	21.45
W306	27.22
C059	22.37
C199	25.64
C076	23.04
C077	21.75
W009	27.21
W180	25.08
W224	26.01
W168	24.52
W181	29.01
W212	23.35
W122	25.56
W262	20.48
C200	22.4
W044	21.31
W038	21.46
W120	19.86
W147	26.46
W148	23.16
W303	23.45
W314	25.0
W310	26.79
W127	25.69
W090	19.06
W151	25.09
W233	22.41
W003	24.31
W022	28.84
W104	22.42
W152	25.52
W082	24.32
W027	23.31
C156	17.49
C037	21.37
W153	25.47
C050	26.86
C176	19.72
C083	26.01
W264	22.59
W036	27.49
W088	18.43
W315	22.16
W312	22.67
W317	22.74
W137	22.47
W083	24.01
W304	22.81
W182	22.64
W007	26.47
W064	16.95
C137	24.76
C074	22.39
C010	21.55
W256	25.0
W283	17.04
C057	23.12
C069	29.29
W134	25.82
W106	22.33
W193	23.73
C027	24.02
W199	29.41
W043	24.29
W096	24.03
W095	26.98
W142	24.12
W141	24.2
W028	26.04
W243	28.73
C002	27.74
W219	26.34
C060	23.99
W288	24.56
C015	25.33
W002	25.26
W089	24.03
W250	19.81
W118	22.82
W274	16.08
C155	16.74
C073	21.76
W194	23.04
C086	25.03
C181	22.43
W323	23.97
W154	25.44
C023	20.35
W091	23.06
W155	26.87
C082	24.25
W286	22.85
W081	28.85
W174	22.49
W068	22.29
C063	23.25
C003	26.37
W261	19.61
W209	22.48
C039	22.02
W237	28.36
W053	25.81
W329	26.7
W057	28.27
