ID	Yield
C152	18.94
W146	64.45
W150	36.18
W129	62.08
W086	33.73
W195	68.19
W138	64.86
C167	18.49
W077	36.33
C114	22.13
C030	33.03
C031	28.48
W149	45.4
C148	26.72
W069	34.34
W079	32.29
W139	20.34
W307	-9.0
W197	64.98
W029	33.16
W290	39.86
C129	38.8
C019	14.97
C173	19.72
C178	23.51
C122	38.68
W242	44.32
W050	32.39
W305	22.28
W071	32.24
W101	43.36
W258	33.53
W172	40.94
W273	35.19
C017	8.94
C018	14.89
W144	39.58
W112	43.85
W061	29.27
W192	36.02
W239	54.41
W330	33.92
W223	52.59
W296	34.9
W297	24.91
W287	40.88
C005	22.5
W078	26.95
C101	15.45
W198	39.96
C127	28.27
C184	16.07
C150	18.31
C160	21.27
W211	25.22
W306	28.41
C059	24.25
C199	21.81
C076	18.58
C077	14.78
W009	30.1
W180	37.7
W224	45.4
W168	42.14
W181	67.62
W212	66.98
W122	25.77
W262	42.45
C200	15.08
W044	30.48
W038	43.57
W120	19.56
W147	65.87
W148	53.04
W303	32.36
W314	45.76
W310	54.69
W127	29.53
W090	52.77
W151	51.34
W233	36.4
W003	23.73
W022	50.38
W104	24.13
W152	47.87
W082	25.41
W027	15.93
C156	15.13
C037	27.65
W153	48.48
C050	23.95
C176	16.33
C083	20.45
W264	44.62
W036	52.97
W088	19.23
W315	29.4
W312	55.13
W317	42.61
W137	34.35
W083	32.77
W304	25.07
W182	50.03
W007	26.76
W064	13.13
C137	16.62
C074	17.51
C010	21.36
W256	28.73
W283	11.96
C057	18.28
C069	27.13
W134	49.84
W106	29.99
W193	43.01
C027	27.54
W199	48.37
W043	41.84
W096	38.39
W095	43.35
W142	27.19
W141	37.55
W028	29.82
W243	53.58
C002	15.18
W219	35.0
C060	25.52
W288	26.15
C015	23.25
W002	11.12
W089	43.14
W250	25.87
W118	27.03
W274	27.06
C155	17.93
C073	15.67
W194	53.24
C086	8.53
C181	16.84
W323	19.09
W154	60.98
C023	27.13
W091	33.09
W155	44.83
C082	29.72
W286	31.4
W081	19.74
W174	41.87
W068	26.34
C063	42.22
C003	24.54
W261	37.25
W209	55.34
C039	30.07
W237	72.55
W053	23.21
W329	34.71
W057	33.1
C118	23.85
W319	12.88
C020	21.41
C158	26.08
W325	10.7
C166	20.12
C042	27.47
C052	23.61
W156	40.36
W145	25.75
C161	25.21
W019	31.73
C080	23.69
C047	22.12
C179	18.55
C084	9.1
W326	24.96
C185	9.56
W052	22.37
W275	28.65
C081	15.53
C154	8.95
W200	48.88
W248	34.34
C182	15.27
W114	28.55
W108	39.54
W105	39.44
C098	15.41
C106	12.18
C195	8.72
C065	27.86
W132	47.57
W157	46.17
C075	28.7
C144	11.16
C045	27.6
C029	19.0
C043	22.34
W131	37.53
W020	30.08
W175	32.07
W040	37.75
W213	31.38
W189	47.6
W222	55.67
W269	53.08
C164	23.03
W188	51.46
W187	-9.0
W169	47.84
W073	31.0
W291	-9.0
W066	28.08
W298	39.21
W084	27.97
W301	38.48
W289	31.8
W293	41.4
W046	34.03
C153	35.52
W217	20.5
W140	38.4
W279	43.34
W299	36.96
W214	40.57
C040	25.01
C117	27.28
W201	51.03
C125	14.01
C097	13.57
C056	16.88
W327	35.33
C112	18.27
C022	21.1
C096	12.05
C049	16.2
C132	13.14
W107	27.58
W047	18.86
C174	27.65
W143	13.77
W035	28.86
W058	54.37
W092	39.43
W215	53.44
W085	39.59
W210	92.66
W021	29.0
W173	35.23
W292	38.98
W124	29.85
W117	16.21
W012	11.32
W045	18.94
W302	46.07
C157	11.06
W265	43.5
W136	21.79
W294	-9.0
W277	32.52
C016	12.43
W202	52.28
C071	26.85
W321	30.24
W257	29.57
W295	47.32
C183	13.52
W225	28.37
C138	13.9
W322	36.91
C004	18.82
C028	25.84
C116	27.4
W203	55.14
C058	16.26
C066	22.28
C128	37.31
C087	16.44
C032	22.01
W110	12.99
C033	25.18
W130	22.98
C014	22.39
W158	51.52
W226	34.59
W282	-9.0
C177	13.13
C104	13.31
C108	16.56
W178	30.93
W037	26.79
C197	11.31
W001	22.49
C091	18.66
C092	18.02
W204	50.0
C124	19.71
C094	12.4
W176	49.18
C011	24.11
C194	11.93
C147	27.15
W067	33.79
W278	39.45
C053	27.49
C009	29.62
C142	18.58
C107	20.04
W177	39.95
W221	25.91
C079	20.06
C133	23.19
C067	25.99
W048	30.36
C013	25.71
W039	48.93
W094	29.83
C141	21.38
C088	15.18
C151	24.3
C165	20.14
C072	28.47
W062	41.03
C162	12.92
W025	29.24
W316	37.4
W300	29.13
C187	14.5
C119	17.49
C146	20.77
W059	28.65
W016	6.03
W309	50.16
W227	50.01
W228	41.88
W183	41.2
W313	42.46
W041	22.38
W271	48.11
W103	26.82
W024	20.07
W102	12.67
W284	19.0
W244	38.07
W126	59.9
W276	42.41
W034	38.19
W033	25.69
C051	24.56
W205	44.07
W013	31.51
W241	51.51
W049	25.26
W236	50.76
W170	36.14
W311	53.65
W184	45.16
W185	43.83
W308	30.02
W191	29.17
C189	17.58
W234	43.17
C025	25.69
C078	18.63
C143	6.52
W318	61.22
C102	16.6
W004	26.55
W159	48.61
W065	35.81
W017	24.03
W055	23.26
W042	36.42
W014	29.41
W051	41.35
W251	29.24
W246	51.53
W280	49.27
W263	32.59
W252	34.15
C001	24.13
W015	71.1
W254	33.2
C055	21.49
C186	28.61
C038	20.55
C090	31.86
W097	27.6
W075	49.48
W008	29.29
W010	25.72
W253	43.12
W111	29.52
C006	13.96
C007	20.44
C085	18.64
W160	42.64
W011	30.85
W135	49.14
W281	23.82
C036	28.86
W070	56.93
C120	18.72
W179	38.47
W328	7.69
W113	31.41
W031	38.67
W099	39.03
W060	23.06
W072	30.61
W100	41.25
W093	27.89
C064	23.28
W235	56.42
C008	6.03
W005	30.8
C123	40.51
W128	46.26
C012	22.97
W074	36.26
C041	26.12
C068	31.13
C169	30.26
W056	32.73
W220	42.36
W076	35.3
W218	22.26
W121	41.53
W133	37.09
W249	30.02
W186	-9.0
C044	20.22
W240	45.03
W030	42.82
W115	40.41
C089	15.23
W032	38.75
W245	12.75
W171	36.34
W054	39.47
W272	49.72
W216	47.57
W259	57.48
W238	36.2
W285	24.48
W260	32.8
W080	54.17
W098	52.36
W018	13.23
W063	25.25
W119	21.24
C180	19.29
W023	42.76
W116	29.11
W006	33.06
W123	36.97
C026	25.89
W320	13.07
C099	18.19
C100	12.15
C105	15.0
C109	8.97
C115	23.74
C139	17.37
C062	14.31
W109	10.06
W026	46.69
W268	47.52
C192	11.77
W206	32.66
C134	11.19
C140	10.51
W229	55.19
W230	25.57
W231	40.06
C121	37.33
C021	24.08
C190	22.79
C110	20.66
C130	13.15
C093	10.24
C170	22.92
C046	28.5
C113	12.22
C202	16.82
C095	12.28
C135	17.25
C111	4.41
C171	22.73
C054	24.28
C131	21.29
C168	29.36
W161	49.92
C061	25.1
C188	12.13
C035	15.55
W247	49.59
W270	43.21
C201	24.53
W125	25.54
W087	28.51
C070	16.79
C191	28.88
W162	74.84
W163	78.87
W207	42.97
W267	49.72
W266	-9.0
C103	17.56
C196	16.74
C048	25.65
C163	16.16
W164	56.01
C203	13.12
C136	21.26
C175	27.96
C145	27.41
C024	21.54
W165	52.53
W208	45.72
C149	27.48
C172	24.85
C034	30.28
C193	22.5
W166	66.81
C159	32.72
W167	45.93
W324	20.18
C198	21.4
W255	49.88
