"Cultivar Name","Cultivar ID","Subpopulation","Heading Date (day)"
"02428","C152","Temperate Japonica","94"
"10340","W146","Indica I","77"
"108S","W150","Indica II","112"
"2","W129","VI/Aromatic","94"
"4484","W086","Indica II","91"
"452","W195","Indica II","98"
"4595","W138","Indica I","79"
"76--1","C167","Indica Intermediate","94"
"79","W077","VI/Aromatic","110"
"80B","C114","Indica Intermediate","61"
"88B-1","C030","Indica Intermediate","92"
"88B-2","C031","Indica Intermediate","95"
"93072","W149","Indica Intermediate","93"
"9311","C148","Indica II","86"
"99216","W069","Aus","102"
"A_152","W079","Intermediate","89"
"A_5","W139","Temperate Japonica","45"
"AGNO_(PSBRC28)","W307","Indica II","94"
"Ai-Zi-DAO","W197","Indica II","94"
"Ai_Chueh_Ta_Pai_Ku","W029","Indica Intermediate","97"
"Aichi_Asahi","W290","Temperate Japonica","102"
"Aihechi","C129","Indica Intermediate","110"
"Aijiaonante","C019","Indica I","72"
"Aimakang","C173","Indica I","89"
"Aimi","C178","Indica I","97"
"Aituogu151","C122","Indica I","93"
"Ajaya","W242","Indica Intermediate","115"
"Ak_Tokhum","W050","VI/Aromatic","121"
"AKITAKOMACHI","W305","Temperate Japonica","82"
"AKP_4","W071","Indica Intermediate","53"
"AMANE","W101","Indica Intermediate","89"
"Amareles","W258","VI/Aromatic","92"
"Amo13_(Sana)","W172","Indica II","96"
"Anambae_ndanggalasi","W273","Tropical Japonica","109"
"AnnongwangengB-1","C017","Temperate Japonica","50"
"AnnongwangengB-2","C018","Temperate Japonica","60"
"Ao_Chiu_2_Hao","W144","Indica I","105"
"ARC_10633","W112","Indica III","114"
"Ardito","W061","Japonica Intermediate","81"
"ASD16","W192","Intermediate","112"
"ASD18","W239","Indica Intermediate","99"
"ASWINA_330","W330","Aus","93"
"At354","W223","Indica II","90"
"AUS_371","W296","Aus","102"
"AUS_373","W297","Aus","102"
"AUS_449","W287","Aus","100"
"AZUCENA","C005","Tropical Japonica","102"
"B805D-MR-16-8-3","W078","Indica Intermediate","121"
"Babaili","C101","Temperate Japonica","110"
"Babaomi","W198","Indica Intermediate","108"
"Baikehualuo","C127","Indica I","84"
"Baikezaohe","C184","Indica I","89"
"Balilla","C150","Temperate Japonica","82"
"Baoxie-7B","C160","Indica Intermediate","75"
"Basmati370","W211","Indica II","94"
"BASMATI_385","W306","VI/Aromatic","119"
"Bawangbian1","C059","Indica I","95"
"Beizinuo","C199","Indica I","104"
"Benbanggu-1","C076","Indica I","90"
"Benbanggu-2","C077","Indica I","88"
"BERLIN","W009","Indica III","115"
"Bg300","W180","Indica Intermediate","91"
"BG304","W224","Indica II","91"
"Bg90-2","W168","Indica II","112"
"Bg94-1","W181","Indica Intermediate","107"
"Bhavani","W212","Indica Intermediate","105"
"BHIM_DHAN","W122","Japonica Intermediate","98"
"Bintapan","W262","Indica I","69"
"Biwusheng","C200","Indica I","110"
"BKN_6987-68-14","W044","Indica II","107"
"BLUE_STICK","W038","Temperate Japonica","120"
"Bombilla","W120","Temperate Japonica","90"
"BR11","W147","Indica Intermediate","100"
"BR24","W148","Indica Intermediate","107"
"British_Honduras_Creole","W303","Tropical Japonica","96"
"BRRI_DHAN_28","W314","Indica II","95"
"BRRI_DHAN_29","W310","Indica Intermediate","111"
"Buphopa","W127","Japonica Intermediate","112"
"C.B._II","W090","Aus","100"
"C418","W151","Indica II","81"
"C70","W233","Indica Intermediate","93"
"C_5560","W003","Tropical Japonica","96"
"C_8429","W022","Tropical Japonica","112"
"CAROLINO_164","W104","Aus","91"
"CDR22","W152","Indica II","101"
"Celiaj","W082","Temperate Japonica","77"
"Chacareiro_Uruguay","W027","Temperate Japonica","85"
"ChaoyangyihaoB","C156","Indica I","72"
"Chengduai3hao","C037","Indica I","85"
"Chenghui448","W153","Indica II","98"
"Chengnongshuijing","C050","Indica II","100"
"Chenwan3hao","C176","Indica Intermediate","124"
"chikenuo","C083","Temperate Japonica","91"
"CHOROFA","W264","Indica Intermediate","87"
"Chun_118-33","W036","Indica I","105"
"CHUNJIANGZAO_NO._1","W088","Temperate Japonica","67"
"CIBOGO","W315","Indica II","105"
"CIGEULIS","W312","Indica II","105"
"CIHERANG","W317","Indica II","106"
"CM1;_HAIPONG","W137","Indica Intermediate","104"
"CNTLR80076-44-1-1-1","W083","Indica Intermediate","94"
"CPSLO_17","W304","Intermediate","117"
"CR203","W182","Indica II","100"
"Criollo_Chivacoa_2","W007","Tropical Japonica","105"
"CSORNUJ","W064","Temperate Japonica","51"
"Cungunuo","C137","Temperate Japonica","92"
"cunsanli","C074","Temperate Japonica","89"
"CYPRESS","C010","Tropical Japonica","96"
"Dacca6","W256","VI/Aromatic","106"
"Daegujo","W283","Temperate Japonica","73"
"Dandongludao","C057","Japonica Intermediate","84"
"Dangyu5hao","C069","Indica II","100"
"Dara","W134","Aus","97"
"Daudzai_Field_Mix","W106","Aus","107"
"Dianjing","W193","Temperate Japonica","101"
"Dianrui409B","C027","Indica Intermediate","89"
"Diantun502","W199","Indica Intermediate","116"
"Dichroa_Alef_Uslkij","W043","Indica Intermediate","110"
"DJ_102","W096","Aus","89"
"DJ_24","W095","Aus","92"
"DNJ_121","W142","Aus","85"
"DNJ_179","W141","Aus","86"
"Doble_Carolina","W028","Aus","105"
"Dodda","W243","Indica II","98"
"Dom_Sufid","C002","VI/Aromatic","96"
"Domsiah","W219","VI/Aromatic","87"
"Dongtingwanxian","C060","Indica I","93"
"Dourado_Precoce","W288","Tropical Japonica","103"
"Dular","C015","Aus","89"
"E_B_Gopher","W002","Tropical Japonica","107"
"Egyptian_Wild_Type","W089","Indica III","85"
"Eiko","W250","Temperate Japonica","83"
"EMBRAPA_1200","W118","Tropical Japonica","103"
"Er_chiu_ching","W274","Indica I","66"
"Erjiunan1hao","C155","Indica I","69"
"Esiniu","C073","Indica I","89"
"F6","W194","Indica II","85"
"Fanhaopi","C086","Aus","100"
"Feidongtangdao","C181","Temperate Japonica","89"
"Feienuo2","W323","Japonica Intermediate","115"
"Fengaizhan","W154","Indica II","87"
"Funingzipi","C023","Temperate Japonica","73"
"Gallawa","W091","Aus","103"
"Gang46B","W155","Indica Intermediate","83"
"Gaoyangdiandao","C082","Temperate Japonica","90"
"Garia","W286","Aus","103"
"Gasym_Hany","W081","VI/Aromatic","87"
"Gayabyeo","W174","Indica II","97"
"Gazan","W068","Temperate Japonica","90"
"Geng87-304","C063","Temperate Japonica","106"
"Gerdeh","C003","Japonica Intermediate","82"
"Ginga","W261","Intermediate","85"
"Gizal159","W209","Temperate Japonica","109"
"Gongju73","C039","Indica I","86"
"Govnd","W237","Indica II","105"
"GPNO_1106","W053","Tropical Japonica","105"
"GPNO_5055","W329","Tropical Japonica","107"
"Grassy","W057","Tropical Japonica","100"
"Gu154","C118","Indica II","96"
"Guangkexiangnuo","W319","Temperate Japonica","127"
"Guangluai-4-1","C020","Indica I","71"
"Guangluai15","C158","Indica I","73"
"Guantuibaihe","W325","Temperate Japonica","117"
"Gui630","C166","Indica Intermediate","89"
"Guichao2hao","C042","Indica Intermediate","92"
"Guihuahuang","C052","Temperate Japonica","95"
"Gumei2hao","W156","Indica I","91"
"GUYANE_1","W145","Indica Intermediate","114"
"Gzhenshan97B","C161","Indica I","85"
"H57-3-1","W019","Japonica Intermediate","91"
"Hanmadao-1","C080","Indica I","91"
"Hanmadao-2","C047","Indica I","97"
"Haobayong1","C179","Temperate Japonica","104"
"Haobuka","C084","Japonica Intermediate","105"
"Haolvguangnian","W326","Japonica Intermediate","125"
"Haomake(K)","C185","Japonica Intermediate","108"
"HB-6-2","W052","Temperate Japonica","103"
"Heen_goda_wee","W275","Tropical Japonica","113"
"Heidu4","C081","Indica I","89"
"Heigeng2hao","C154","Temperate Japonica","58"
"Heiheaihui","W200","Indica Intermediate","101"
"Heimichut","W248","Indica I","92"
"Hengxianliangchun","C182","Indica I","88"
"Heo_Trang","W114","Indica III","122"
"Hi_Muke","W108","Aus","91"
"HKG_98","W105","Aus","97"
"Hongainuo","C098","Indica Intermediate","114"
"Hongkezhenuo","C106","Temperate Japonica","107"
